query_id,backbone,map,n_probes,spearman_vs_jacobian,topdecile_jaccard_vs_jacobian,topdecile_concentration,gini,pred_margin_sd,obs_margin_sd,pred_over_obs,rank_flip_rate,clean_margin,energy_preclamp,energy_postclamp,clamp_loss_frac,jacobian_split_half_spearman
cph_query_--xKnCCc_4tDGo80iM-A_g,resnet18,score_gradient,128,0.6787070819007531,0.3251374959560013,0.6345164716088684,0.4467423535983299,0.018001053987619132,0.005100037468968747,3.529592497534932,0.0,0.008624732494354248,2956341.53125,2925306.203125,0.01049788321036022,0.9877788728400413
cph_query_--xKnCCc_4tDGo80iM-A_g,resnet18,margin_gradient,128,0.6772522720981554,0.3445672393040814,0.6728307883067405,0.4486186363753779,0.033418362722187,0.005022359344384996,6.653917099649345,0.0,0.008624732494354248,2950442.53125,2890764.4375,0.0202268280496609,0.9877788728400413
cph_query_--xKnCCc_4tDGo80iM-A_g,resnet18,uniform,128,nan,0.05530745448299553,0.1,0.0,0.005808512334996194,0.0035366610275424965,1.6423717992086815,0.0,0.008624732494354248,2948732.8515625,2912406.921875,0.012319166067638615,0.9877788728400413
london_query_-4pmBOZmF-ynXSkWw5BAew,resnet18,jacobian_colnorm,128,1.0,1.0,0.5549261350793598,0.44004823345622057,0.015435019383690364,0.006560534316137824,2.3527076667707965,0.125,0.01716381311416626,2947469.765625,2878486.8046875,0.0234041284297525,0.9936679695480609
london_query_-4pmBOZmF-ynXSkWw5BAew,resnet18,score_gradient,128,0.836257763778416,0.40578881134881595,0.7338878526982883,0.5394582051160133,0.019736292535597826,0.0063119838395853285,3.12679706367791,0.0,0.01716381311416626,2944866.1640625,2833129.9140625,0.037942726010290966,0.9936679695480609
london_query_-4pmBOZmF-ynXSkWw5BAew,resnet18,margin_gradient,128,0.8376376539044016,0.41550512613754176,0.7256089304972687,0.5456125280650617,0.023596939039547602,0.008754535151794415,2.695396001089897,0.03125,0.01716381311416626,2946665.921875,2870332.5078125,0.025905011320023718,0.9936679695480609
london_query_-4pmBOZmF-ynXSkWw5BAew,resnet18,uniform,128,nan,0.0016302575806977503,0.1,0.0,0.006340166290071989,0.0031511821072763716,2.0119961570713283,0.0,0.01716381311416626,2951150.609375,2706940.28125,0.08275088616257349,0.9936679695480609
manila_query_-2h231ovohZWmrsaBllNyw,resnet18,jacobian_colnorm,128,1.0000000000000002,1.0,0.4363300640001162,0.2992007934737988,0.009292252538695004,0.004682962151925949,1.9842681271454234,0.0,-0.050251901149749756,2950515.3671875,2819047.59375,0.044557562688723816,0.981679361077937
manila_query_-2h231ovohZWmrsaBllNyw,resnet18,score_gradient,128,0.6378060464384664,0.32814526588845655,0.6000762483413477,0.4169598651130515,0.011243401989589182,0.0051122038857301,2.199325817378556,0.0,-0.050251901149749756,2946931.5859375,2772335.25,0.059246823635356334,0.981679361077937
manila_query_-2h231ovohZWmrsaBllNyw,resnet18,margin_gradient,128,0.6400068177331847,0.3356521739130435,0.6145537993877546,0.42289882825389746,0.015027056583450101,0.006039042404274283,2.4883177791257647,0.0,-0.050251901149749756,2939806.71875,2778762.7421875,0.0547804641493491,0.981679361077937
manila_query_-2h231ovohZWmrsaBllNyw,resnet18,uniform,128,nan,0.034604698156100025,0.1,0.0,0.005036765332613621,0.0034387764260163964,1.4646969470034412,0.0,-0.050251901149749756,2948193.5859375,2905723.1953125,0.0144055637416682,0.981679361077937
nairobi_query_-dn1KaWvGY9H5JRLNtaYPg,resnet18,jacobian_colnorm,128,1.0,1.0,0.43275736164009404,0.3055015393620457,0.00950815990907139,0.005158555821140145,1.8431825182750265,0.1875,0.0022755861282348633,2950742.7890625,2824510.75,0.042779750078659355,0.9814036729523676
nairobi_query_-dn1KaWvGY9H5JRLNtaYPg,resnet18,score_gradient,128,0.584635959358494,0.2772061116308076,0.5787098773941568,0.4134584622169797,0.008972537753211609,0.004619295032875409,1.9424041307936122,0.0,0.0022755861282348633,2948150.8515625,2695892.0625,0.08556508868221738,0.9814036729523676
